nom;debut;fin;ressources
Design;;;
Charte graphique;20/06/2017;31/08/2017;
Document CR;01/08/2017;31/08/2017;
Cartes de visite;01/08/2017;31/08/2017;VP MCDEC
Design site externe;01/07/2017;31/08/2017;Info, Com
Polos de l'_quipe;20/06/2017;20/08/2017;Achats
Bracelets;20/06/2017;20/08/2017;Achats
Invitation DCER1;20/08/2017;05/09/2017;Entreprise
Affiche 1ère rdb;20/08/2017;03/09/2017;Com'int
Affiche bar sp_ / BBQ rentr_e;20/08/2017;02/09/2017;Com'int
Plaquette log-enviqua;20/08/2017;15/09/2017;Log, Enviqua
Plaquette et catalogue entreprises;01/09/2017;15/09/2017;VP MCDEDC, Entreprise
Invitation SdL;20/09/2017;10/10/2017;SEC GEN
Plaquette iti;01/11/2017;10/11/2017;Iti
Bandeaux facebook/hyperplanning/lydia/?;15/11/2017;30/11/2017;VP MCDEDC, Com
Flyers Raid/Prologue;15/11/2017;30/11/2017;VP MCDEC
Affiche du Raid;15/10/2017;10/11/2017;Buro
Logo de l'_dition;25/10/2017;10/11/2017;VP MCDEC
Affiche NND;15/10/2017;01/11/2017;Buro
Fond des slides;15/10/2017;15/11/2017;SEC GEN
Macroplanning;25/11/2017;15/12/2017;planning
Couverture facebook Equinoxe;01/12/2017;20/12/2017;VP MCDEC, Com
SchÇma facebook NND;01/01/2018;10/01/2018;Com'int
Roadbook NND;01/01/2018;15/02/2018;PREZ, RESPOS (TdN, jour, nuit, CO, actifun)
T-shirt Staff et Finisher NND;01/01/2018;31/01/2018;Achats
Dossards et plaques VTT Prologue;15/01/2018;10/02/2018;Concurrents
Livret Concurrents Raid;15/02/2018;25/03/2018;VP DECIM (pages entreprises), Prez (_ditos), Respos Jour (journ_es), Concurrents (_quipes), Com (villes _tapes), Enviqua (autre)
Plaquette Alpha;04/03/2018;15/04/2018;Com'int
T-shirt Finisher Raid;15/03/2018;01/04/2018;Achats
