Nom;Début;Fin;Niveau;Ressources
Iti;;;1;
Audit interne;01.01.2019;10.01.2019;2;Enviqua, Tous
Entrainement avec les équipes mixtes inscrites (test matériel et cohésion);01.01.2019;16.02.2019;2;Inclusion, iti
Formation ouvreurs et balisage;01.01.2019;16.04.2019;2;Ouvreurs
Préparation audit externe;01.03.2019;01.04.2019;2;Tous, Enviqua
NND;01.03.2019;02.03.2019;2;
Plaquette Iti;01.11.2018;10.11.2018;2;Design
Inventaire -1 F;08.06.2017;01.06.2018;2;Log, Sécu
Encadrement respos CO, actifuns, jours;04.03.2019;25.04.2019;2;POLIS
Formation Respos Jour à Carto (Raid);04.03.2019;11.03.2019;2;
Exploitation CRs SER;04.11.2018;15.11.2018;2;
WER 3 GPA;05.10.2018;07.10.2018;2;
Premier tracé du Raid pour la sécu;05.11.2018;22.12.2018;2;Sécu
Préparation du WERA;06.11.2018;23.11.2018;2;Log
Devis actifuns;06.11.2018;25.11.2018;2;
Formation logiciel de timing/Carto;06.11.2018;10.02.2019;2;
Timings et résumés des journées;06.11.2018;04.03.2019;2;
Prévoir le matériel à acheter/louer/emprunter;07.01.2019;13.04.2019;2;Achats, Trez
Organisation WER1;07.06.2018;23.09.2018;2;Log, Ouvreurs
Organisation WER2;07.06.2018;30.09.2018;2;Log
Organisation WER3;07.06.2018;07.10.2018;2;Log, Ouvreurs
Choix du lieu;08.10.2018;10.10.2018;2;POLIS
Formation Openrunner du secteur/ Choix réfléchi des itis à tracer pour les GPAs;09.10.2018;26.10.2018;2;
Signature contrats Prestataires;09.12.2018;23.04.2018;2;
Nomination Respos Jour & Nuit;11.01.2019;04.03.2019;2;Log, Buro
Organisation SER;12.10.2018;26.10.2018;2;Log
Préparation de la soirée de lancement;12.11.2018;03.12.2018;2;POLIS
Formation respos Night'N Day;14.12.2018;29.02.2019;2;Log, Entreprise, Com
Refonte du template WER;15.06.2018;01.09.2018;2;
Préparation audit interne;15.10.2018;07.01.2019;2;Enviqua, Tous
Réalisation d'itis sur le lieux choisi;15.10.2018;28.10.2018;2;
Préparation du panneau concurrents;16.04.2018;23.04.2018;2;Concs
Organisation WERP;19.02.2019;15.04.2019;2;Log, Sécu
V0 itis NND;20.06.2018;30.07.2018;2;
Formation CR-Reco;21.09.2018;28.10.2018;2;
WER 1 GPA;21.09.2018;23.09.2018;2;
Exploitation des CRs des WERs;23.09.2018;26.10.2018;2;
Raid;24.04.2019;28.04.2019;2;
Préparation contrats actifuns;25.11.2018;10.02.2019;2;
SER;26.10.2018;04.11.2018;2;
Choix des lieux de WERs;27.06.2018;29.06.2018;2;
WER 2 Vieux ;28.09.2018;30.09.2018;2;
Sélection des campings;28.10.2018;15.11.2018;2;Log
Définir les spéciales;28.10.2018;04.03.2018;2;
Revoir l'itinéraire / prévoir repérage handisportifs;30.10.2018;30.11.2018;2;Inclusion, ouvreurs
V1 iti NND ;05.11.2018;1.12.2018;2;Ouvreurs
